Virus name,Pango lineage,Collection date,D614G,N501Y,A570D,P681H,T716I,S982A,D1118H,del69/70,del144
hCoV-19/USA/IL-CDC-LC0005363/2021,B.1.517,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0003045/2021,B.1.2,2021-01-10,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0005262/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0004119/2021,B.1.2,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0004149/2021,B.1.2,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0004151/2021,B.1.2,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0004153/2021,B.1.2,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0005258/2021,B.1.1.274,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0005361/2021,B.1.243,2021-01-09,True,False,False,True,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0005255/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0005368/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0005367/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0005362/2021,B.1.1.222,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0003720/2021,B.1.2,2021-01-12,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0005369/2021,B.1.595,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0004115/2021,B.1.2,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0004142/2021,B.1.587,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC00002730/2021,B.1.1.518,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-UW-3062/2021,B.1.2,2021-01-19,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-QDX-3827/2021,B.1.2,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-QDX-3961/2021,B.1.2,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-QDX-3606/2021,B.1.2,2021-01-10,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-QDX-3680/2021,B.1.2,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-9MF6-8823/2021,B.1.1.7,2021-01-17,True,True,True,True,True,True,True,True,True
hCoV-19/USA/IL-CDC-9MH9-8838/2021,B.1.1.7,2021-01-16,True,True,True,True,True,True,True,True,True
hCoV-19/USA/IL-CDC-9MP1-8894/2021,B.1.2,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-9MP6-8895/2021,B.1.2,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-9MPB-8896/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-9MPG-8897/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-9MPL-8898/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-9MPQ-8899/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-9MPV-8900/2021,B.1.582,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-9MQ0-8901/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-9MQ5-8902/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-9MQA-8903/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-9MQF-8904/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-9MQK-8905/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-9MQP-8906/2021,B.1.1.71,2021-01-11,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-9MQU-8907/2021,B.1.2,2021-01-11,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-9MQZ-8908/2021,B.1.243,2021-01-12,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-9MR4-8909/2021,B.1,2021-01-13,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-9MR9-8910/2021,B.1.2,2021-01-13,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-PY05-7261/2021,B.1.1.7,2021-01-21,True,True,True,True,True,True,True,True,True
hCoV-19/USA/IL-CDC-PY0K-7264/2021,B.1.1.7,2021-01-20,True,True,True,True,True,True,True,True,True
hCoV-19/USA/IL-CDC-PY0P-7265/2021,B.1.1.7,2021-01-21,True,True,True,True,True,True,True,True,True
hCoV-19/USA/IL-QDX-4194/2021,B.1.2,2021-01-15,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-QDX-4207/2021,B.1.429,2021-01-14,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-QDX-4229/2021,B.1.2,2021-01-15,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-QDX-4317/2021,B.1.139,2021-01-14,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-QDX-4335/2021,B.1.2,2021-01-15,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5783/2021,B.1.2,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5785/2021,B.1.2,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5788/2021,B.1.2,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5789/2021,B.1.2,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5790/2021,B.1.2,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5791/2021,B.1.2,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5794/2021,B.1.2,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5795/2021,B.1.239,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5796/2021,B.1.2,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5798/2021,B.1.240,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5799/2021,B.1.1.274,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5800/2021,B.1.2,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5801/2021,B.1.243,2021-01-04,True,False,False,True,False,False,False,False,False
hCoV-19/USA/IL-NM-5804/2021,B.1.240,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5805/2021,B.1.2,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5807/2021,B.1.232,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5808/2021,B.1.429,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5809/2021,B.1.2,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5810/2021,B.1.2,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5811/2021,B.1.2,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5812/2021,B.1.2,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5813/2021,B.1.2,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5814/2021,B.1.1.416,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5815/2021,B.1.582,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5816/2021,B.1.2,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5817/2021,B.1.2,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5818/2021,B.1.1.519,2021-01-04,True,False,False,True,False,False,False,False,False
hCoV-19/USA/IL-NM-5819/2021,B.1.1.519,2021-01-05,True,False,False,True,False,False,False,False,False
hCoV-19/USA/IL-NM-5820/2021,B.1.2,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5821/2021,B.1.2,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5822/2021,B.1.2,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5823/2021,B.1.349,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5825/2021,B.1.2,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5826/2021,B.1.2,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5827/2021,B.1.2,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5828/2021,B.1.2,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5829/2021,B.1.2,2021-01-04,True,True,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5830/2021,B.1.234,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5831/2021,B.1.2,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5832/2021,B.1.1.392,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5834/2021,B.1.429,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5835/2021,B.1.243,2021-01-04,True,False,False,True,False,False,False,False,False
hCoV-19/USA/IL-NM-5836/2021,B.1.2,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5837/2021,B.1.2,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5838/2021,B.1.36.8,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5839/2021,B.1.232,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5840/2021,B.1.429,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5841/2021,B.1.2,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5843/2021,B.1.2,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5845/2021,B.1.2,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5846/2021,B.1.564.1,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5847/2021,B.1.568,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5848/2021,B.1.2,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5851/2021,B.1.2,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5852/2021,B.1.2,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5853/2021,B.1.234,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5854/2021,B.1.1.316,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5855/2021,B.1.2,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5856/2021,B.1.2,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5859/2021,B.1.349,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5860/2021,B.1.429,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5861/2021,B.1,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5862/2021,B.1.596,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5864/2021,B.1.1.518,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5865/2021,B.1.1.464,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5866/2021,B.1.2,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5867/2021,B.1.2,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5870/2021,B.1.2,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5871/2021,B.1.2,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5872/2021,B.1.2,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5873/2021,B.1.2,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5874/2021,B.1.2,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5875/2021,B.1.596,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5876/2021,B.1.2,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5878/2021,B.1.2,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5879/2021,B.1.2,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5880/2021,B.1.2,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5881/2021,B.1.558,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5882/2021,B.1.298,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5884/2021,B.1.596,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5885/2021,B.1.429,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5886/2021,B.1.2,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5887/2021,B.1.429,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5888/2021,B.1.2,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5895/2021,B.1.596,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5897/2021,B.1.2,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5898/2021,B.1.2,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5899/2021,B.1,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5900/2021,B.1.2,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5902/2021,B.1.2,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5904/2021,B.1.1.434,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5905/2021,B.1.1.434,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5906/2021,B.1.1.434,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5907/2021,B.1.298,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5908/2021,B.1.2,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5909/2021,B.1.243,2021-01-07,True,False,False,True,False,False,False,False,False
hCoV-19/USA/IL-NM-5910/2021,B.1.298,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5911/2021,B.1.2,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5912/2021,B.1.596,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5913/2021,B.1.1.316,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5914/2021,B.1.311,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5918/2021,B.1.2,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5923/2021,B.1.36.10,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5924/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5925/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5926/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5927/2021,B.1.1.316,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5928/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5933/2021,C.31,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5934/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5935/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5936/2021,B.1.243,2021-01-08,True,False,False,True,False,False,False,False,False
hCoV-19/USA/IL-NM-5937/2021,B.1.243,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5938/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5939/2021,B.1.243,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5942/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5944/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5946/2021,B.1.1.416,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5949/2021,B.1,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5951/2021,P.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5952/2021,B.1.232,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5953/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5954/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5956/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5957/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5959/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5960/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5961/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5962/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5963/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5964/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5965/2021,B.1.404,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5966/2021,B.1,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5967/2021,B.1.1.518,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5969/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5970/2021,B.1.603,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5972/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5973/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5974/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5975/2021,B.1.243,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5976/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5977/2021,B.1.243,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5978/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5979/2021,B.1.429,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5980/2021,B.1.429,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5981/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5982/2021,B.1.429,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5985/2021,B.1.588,2021-01-10,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5986/2021,B.1.243,2021-01-10,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5987/2021,B.1.2,2021-01-10,True,False,False,True,False,False,False,False,False
hCoV-19/USA/IL-NM-5991/2021,B.1.2,2021-01-10,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5992/2021,B.1.2,2021-01-10,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5993/2021,B.1.2,2021-01-10,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5995/2021,B.1.1,2021-01-10,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM-5996/2021,B.1.1.222,2021-01-10,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-9NI7-9104/2021,B.1.1.7,2021-01-26,True,True,True,True,True,True,True,True,True
hCoV-19/USA/IL-CDC-9NI2-9103/2021,B.1.1.7,2021-01-26,True,True,True,True,True,True,True,True,True
hCoV-19/USA/IL-CDC-9NHX-9102/2021,B.1.2,2021-01-22,True,False,False,False,False,False,False,True,False
hCoV-19/USA/IL-IDPH-I-000802/2021,B.1.1.352,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-IDPH-I-000803/2021,B.1.1.352,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-IDPH-I-000941/2021,B.1.568,2021-01-11,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-IDPH-I-000942/2021,B.1.568,2021-01-11,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-IDPH-I-000955/2021,B.1.2,2021-01-12,True,False,False,False,False,False,False,False,True
hCoV-19/USA/IL-IDPH-I-000762/2021,B.1.2,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-IDPH-I-000807/2021,B.1.177.53,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-IDPH-I-000808/2021,B.1.2,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-IDPH-I-000810/2021,B.1.2,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-IDPH-I-000812/2021,B.1.2,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-IDPH-I-000823/2021,B.1.596,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-IDPH-I-000826/2021,B.1.2,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-IDPH-I-000828/2021,B.1.2,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-IDPH-I-000829/2021,B.1.2,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-IDPH-I-000830/2021,B.1.2,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-IDPH-I-000836/2021,B.1.2,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-IDPH-I-000837/2021,B.1.2,2021-01-05,True,False,False,False,False,False,False,False,False
